season,episode_number,song,description
1,1x01,Your Love,Your love is like a giant pigeon...
1,1x10,Snowman,How was I supposed to know that my mom was dead in the kitchen?
1,1x23,Babies,They're tiny and chubby and so sweet to touch.
2,2x06,Smelly Cat,Su mayor éxito. What are they feeding you?
2,2x06,Terry's a Jerk,Terry's a jerk and he won't let me work!
2,2x08,Two of Them Kissed,"Resumen del drama entre Ross, Rachel y Julie."
2,2x12,The Grandmother Song,Now grandma's a person who everyone likes...
2,2x12,Sexual Freedom,The cow in the meadow goes moo...
3,3x08,Endless Love,Dúo con Chandler.
3,3x14,Sticky Shoes,"My favorite shoes, so good to me."
3,3x14,Jingle Bitch,Jingle bitch screwed me over!
4,4x05,The 66 Colors of my Bedroom,Canción interrumpida por Joey.
4,4x10,The Holiday Song,"Monica, Monica, have a happy Hanukkah!"
5,5x10,The Girl Who Hits Joey,Sobre la novia violenta de Joey.
5,5x13,The Phoebe Song,P-H-O-E-B-E...
6,6x07,Running Song,And the crusty old man said 'I'll do what I can'
7,7x15,The Geller Cup,Mención a la copa Geller.
7,7x19,The Shower Song,I'm in the shower and I'm writing a song.
9,9x07,Baby Got Back (Lullaby),Versión para Emma con Rachel.
9,9x13,Emma's Lullaby,"Sleepy girl, sleepy girl, with the smelly feet."
10,10x07,The Wedding Song,Intento fallido para la boda de Monica y Chandler.
